id,专利类型,案件受理年份,案件判决年份,专利权人是否为外国人,原告数量,原告类型,被告数量,被告类型,侵权企业规模,请求赔偿金额,地区变量,侵权行为数量,是否恶意侵权,赔偿金额
281,1,2016,2016,0,0,0,1,1,3,0,3,4,1,0
282,1,2017,2017,0,0,0,1,1,4,4,3,4,1,0
283,1,2016,2017,0,1,1,0,1,6,2,3,4,1,0
284,1,2014,2015,0,0,0,0,0,1,4,3,5,0,2
285,1,2017,2017,0,0,0,0,0,1,0,4,5,1,0
286,1,2016,2016,0,0,1,1,1,6,4,3,4,0,2
287,1,2016,2017,0,0,1,1,1,6,4,3,5,0,2
288,1,2017,2017,0,0,1,0,1,6,3,4,4,0,2
289,1,2015,2015,0,0,0,0,0,1,0,3,5,1,0
290,1,2016,2016,0,0,1,0,1,6,2,3,4,1,0
291,1,2017,2017,0,0,1,1,1,4,4,3,5,0,3
292,1,2018,2018,0,0,1,0,1,6,0,7,5,0,2
293,1,2015,2015,0,0,1,1,1,4,0,3,5,0,2
294,1,2016,2018,0,0,1,1,1,4,0,1,5,0,4
295,1,2014,2015,0,0,0,1,1,6,5,4,5,0,4
296,1,2015,2015,0,1,1,1,1,6,6,3,5,0,5
297,1,2016,2016,0,1,1,0,0,1,5,3,5,0,5
298,1,2016,2016,0,0,1,0,1,4,2,6,4,0,1
299,1,2016,2017,0,0,1,0,1,6,3,3,5,0,3
300,1,2018,2019,0,0,1,0,0,1,4,3,5,0,2
301,1,2018,2018,0,0,1,1,0,1,4,3,5,0,3
302,1,2018,2018,0,0,1,0,0,2,4,3,5,0,3
303,1,2018,2019,0,0,1,0,0,1,4,3,5,0,2
304,1,2017,2018,0,0,1,0,1,6,6,5,3,1,0
305,1,2016,2016,0,0,1,0,1,6,5,3,4,0,1
306,1,2017,2017,0,0,1,0,1,6,0,3,4,1,0
307,1,2015,2016,0,0,1,1,1,6,5,3,4,1,0
308,1,2018,2018,0,1,1,0,0,1,0,3,4,0,2
309,1,2016,2017,0,0,1,1,1,6,2,3,4,0,3
310,1,2017,2018,0,0,1,1,1,6,0,7,5,1,0
311,1,2016,2016,0,0,1,1,1,6,0,7,5,0,2
312,1,2017,2018,0,1,1,0,1,6,6,3,5,0,7
313,1,2018,2018,0,0,1,0,0,1,0,4,5,0,1
314,1,2018,2018,0,0,1,0,1,4,0,4,3,0,5
315,1,2014,2017,0,0,1,1,1,3,0,4,5,0,5
316,1,2016,2018,0,0,1,0,1,2,3,4,5,0,3
317,1,2016,2017,0,0,1,0,1,2,3,4,5,0,3
318,1,2018,2018,0,0,0,0,0,1,0,4,5,0,1
319,1,2017,2017,0,0,1,0,1,3,0,4,5,0,1
320,1,2016,2018,0,0,1,0,1,2,4,4,5,0,3
321,1,2014,2017,0,0,1,1,1,6,7,2,5,0,5
322,1,2018,2018,0,0,1,0,1,4,0,2,5,0,3
323,1,2015,2016,0,0,1,0,1,3,3,2,5,0,2
324,1,2016,2016,0,0,1,0,1,3,0,4,4,0,3
325,1,2017,2018,0,0,1,0,1,6,0,4,5,0,6
326,1,2016,2019,0,0,1,1,1,6,0,4,5,0,5
327,1,2018,2019,0,1,1,0,1,5,0,4,4,0,3
328,1,2017,2018,0,0,1,0,1,6,5,2,4,1,0
329,1,2017,2018,0,0,1,0,1,5,5,4,3,1,0
330,1,2016,2017,0,0,1,1,1,6,6,4,5,0,6
331,1,2017,2019,0,1,1,0,1,6,6,1,5,0,4
332,1,2015,2016,0,0,1,0,1,6,3,3,5,0,3
333,1,2017,2018,0,0,1,1,1,6,5,1,5,0,4
334,1,2016,2016,0,0,1,1,1,4,0,1,5,0,3
335,1,2015,2015,0,0,1,0,1,6,7,1,5,1,0
336,1,2016,2017,0,0,1,1,1,6,3,5,4,0,2
337,1,2017,2018,0,0,1,1,1,6,4,1,5,0,2
338,1,2016,2017,0,0,1,1,1,6,3,1,5,0,2
339,1,2017,2017,0,0,1,1,1,6,3,5,5,0,2
340,1,2016,2016,0,1,1,0,1,6,4,3,5,0,1
341,1,2014,2015,0,0,1,1,1,6,4,3,4,0,2
342,1,2014,2015,0,0,1,1,1,4,0,3,4,0,4
343,1,2018,2018,0,0,0,0,0,3,4,6,5,0,2
344,1,2016,2016,0,0,1,0,1,3,4,3,5,0,2
345,1,2016,2016,0,0,0,1,1,4,0,3,4,0,2
346,1,2016,2016,0,1,0,1,1,6,4,6,5,0,2
347,1,2015,2016,0,0,0,1,1,6,3,3,5,0,2
348,1,2016,2016,0,0,0,1,1,6,6,3,4,1,0
349,1,2015,2015,0,0,0,0,1,4,0,4,4,0,2
350,1,2017,2018,0,0,0,0,1,6,0,6,5,1,0
351,1,2014,2015,0,1,0,1,1,6,3,6,5,0,3
352,1,2017,2018,0,0,0,0,0,2,2,3,4,0,2
353,1,2017,2017,0,0,0,0,0,2,2,3,4,0,2
354,1,2017,2018,0,0,0,0,0,2,2,1,5,0,2
355,1,2018,2018,0,0,0,0,0,1,3,3,5,0,1
356,1,2017,2018,0,0,0,0,1,3,2,7,4,0,2
357,1,2017,2018,0,0,0,0,1,4,2,7,4,0,2
358,1,2017,2018,0,0,0,1,0,3,2,7,4,0,2
359,1,2019,2019,0,0,1,0,1,6,0,3,5,0,4
360,1,2016,2018,0,0,1,0,1,6,5,2,5,1,0
361,1,2017,2018,0,0,1,1,1,3,0,4,5,0,4
362,1,2015,2017,0,0,1,1,1,6,6,1,5,0,5
363,1,2017,2019,0,0,1,1,1,6,6,4,5,0,3
364,1,2017,2018,0,1,1,0,0,1,0,4,4,0,5
365,1,2018,2019,0,0,0,1,1,4,6,1,5,1,0
366,1,2015,2017,0,0,1,1,1,6,2,4,4,1,0
367,1,2014,2015,0,0,1,1,1,6,0,4,5,0,5
368,1,2017,2018,0,0,1,0,1,4,0,4,4,1,0
369,1,2018,2019,0,0,0,1,1,6,1,7,5,1,0
370,1,2015,2016,0,0,0,0,0,1,3,3,2,0,5
371,1,2017,2018,0,0,1,0,0,6,0,2,5,1,0
372,1,2015,2017,0,0,1,0,1,4,5,3,5,0,4
373,1,2015,2016,0,0,1,0,1,6,0,2,4,0,5
374,1,2017,2017,0,0,0,0,1,6,6,3,2,1,0
375,1,2016,2017,0,0,0,0,1,3,4,3,5,0,3
376,1,2015,2016,0,0,0,1,1,6,4,4,4,1,0
377,1,2016,2017,1,1,1,0,0,6,2,1,5,1,0
378,1,2018,2019,0,0,1,0,1,3,4,3,5,0,5
379,1,2018,2019,0,0,1,0,0,1,4,3,5,0,3
380,1,2014,2015,0,0,1,0,1,6,2,3,5,1,0
381,1,2015,2016,0,0,1,1,1,5,0,2,5,0,2
382,1,2017,2018,0,0,1,0,1,3,2,7,5,1,0
383,1,2017,2019,1,1,1,0,1,6,6,3,5,1,0
384,1,2016,2017,0,0,1,0,1,3,6,3,5,0,2
385,1,2013,2017,0,0,1,1,1,5,6,4,5,1,0
386,1,2014,2015,0,0,0,0,1,6,4,3,4,1,0
387,1,2017,2017,0,0,0,0,1,2,0,7,3,0,2
388,1,2016,2017,0,0,1,0,1,3,0,3,5,0,2
389,1,2017,2018,0,0,1,1,1,3,2,4,5,0,2
390,1,2015,2015,0,0,1,0,1,3,4,2,5,1,0
391,1,2017,2017,0,0,1,1,1,6,5,4,5,0,1
392,1,2016,2016,0,0,1,1,1,3,2,4,5,0,2
393,1,2017,2018,0,0,1,0,1,2,2,4,5,0,2
394,1,2017,2018,0,0,1,1,1,3,5,4,4,0,5
395,1,2015,2016,0,0,1,1,1,6,4,3,4,1,0
396,1,2016,2016,0,0,1,1,1,6,0,3,4,0,2
397,1,2017,2018,0,0,1,1,1,3,6,4,5,0,6
398,1,2017,2018,0,0,0,0,1,3,3,4,5,0,2
399,1,2017,2018,0,0,0,0,1,3,3,4,5,1,0
400,1,2017,2018,0,0,0,0,1,3,4,4,4,1,0
401,1,2017,2018,0,0,0,0,1,5,4,4,4,1,0
402,1,2017,2017,0,0,0,1,1,6,4,1,5,1,0
403,1,2017,2018,0,0,0,1,1,6,0,4,4,1,0
404,1,2017,2018,0,0,0,1,1,6,0,4,4,1,0
405,1,2018,2018,0,1,1,0,0,1,0,3,5,0,6
406,1,2018,2018,0,0,0,0,1,6,0,3,2,0,3
407,1,2018,2018,0,0,0,1,1,3,0,3,2,0,3
408,1,2016,2017,0,0,0,1,1,3,0,3,1,1,0
409,1,2018,2018,1,0,1,0,1,3,4,3,5,0,4
410,1,2017,2017,1,0,1,0,1,3,2,4,5,0,3
411,1,2018,2018,1,0,1,0,0,2,3,4,5,0,2
412,1,2017,2017,0,0,1,0,1,3,0,3,5,0,5
413,1,2016,2017,0,0,1,0,1,5,4,3,5,0,2
414,1,2017,2018,0,0,1,1,1,4,0,3,4,0,4
415,1,2014,2015,0,0,0,0,0,1,6,3,5,0,5
416,1,2015,2018,0,0,1,1,1,6,0,3,5,0,5
417,1,2015,2018,0,0,1,0,1,6,0,3,5,0,5
418,1,2015,2016,0,0,1,0,1,6,6,3,5,0,4
419,1,2018,2019,0,0,1,1,1,3,4,3,5,0,3
420,1,2017,2018,0,0,0,1,1,6,0,4,5,0,2
421,1,2016,2017,0,1,1,0,1,6,4,4,4,1,0
422,1,2018,2019,0,0,1,0,1,6,6,7,3,0,4
423,1,2017,2018,0,0,1,1,1,6,3,4,5,0,5
424,1,2015,2017,0,0,1,0,1,4,2,5,4,0,5
425,1,2018,2018,0,0,0,1,1,3,4,4,4,1,0
