id,专利类型,案件受理年份,专利权人是否为外国人,原告数量,原告类型,被告数量,被告类型,侵权企业规模,请求赔偿金额,地区变量,侵权行为数量,是否恶意侵权,赔偿金额
2584,3,2018,0,0,0,0,1,4,2,4,4,0,0-1万
2585,3,2018,0,0,0,0,1,3,2,4,5,0,1-10万
2586,3,2017,0,0,0,0,0,2,2,4,4,0,0-1万
2587,3,2017,0,0,0,1,1,5,0,4,5,0,20-50万
2588,3,2017,0,0,0,0,1,2,2,4,5,0,1-10万
2589,3,2015,0,0,0,0,1,3,2,4,5,0,1-10万
2590,3,2017,1,0,1,0,1,2,0,7,5,0,50-100万
2591,3,2013,1,0,1,1,1,6,5,2,5,0,20-50万
2592,3,2015,1,0,1,1,1,6,5,3,5,0,10-20万
2593,3,2014,1,0,1,0,1,6,5,3,5,0,10-20万
2594,3,2017,0,0,0,1,1,6,5,4,5,0,1-10万
2595,3,2017,0,0,0,1,1,6,5,4,5,0,10-20万
2596,3,2016,0,0,0,1,1,3,2,4,5,0,1-10万
2597,3,2014,0,0,0,0,1,3,2,4,5,0,1-10万
2598,3,2018,0,0,0,1,1,3,2,4,5,0,1-10万
2599,3,2017,0,0,0,0,1,3,0,4,3,0,1-10万
2600,3,2015,0,0,0,0,1,3,2,4,5,0,1-10万
2601,3,2015,0,1,1,1,1,4,0,3,5,0,1-10万
2602,3,2016,0,1,0,0,1,3,4,2,5,0,1-10万
2603,3,2014,0,0,0,0,1,2,0,5,5,1,0万
2604,3,2014,0,0,0,0,1,2,0,5,5,1,0万
2605,3,2016,0,0,0,0,1,4,2,4,5,0,0-1万
2606,3,2015,0,0,0,0,0,2,1,4,5,0,1-10万
2607,3,2017,0,0,0,0,0,2,2,4,5,0,1-10万
2608,3,2016,0,0,0,0,0,2,2,4,5,0,1-10万
2609,3,2015,0,0,0,0,0,1,2,2,3,1,0万
2610,3,2018,0,0,0,1,0,3,0,4,5,0,1-10万
2611,3,2017,0,0,0,1,1,3,3,1,5,0,1-10万
2612,3,2016,0,0,0,1,1,3,1,4,5,0,0-1万
2613,3,2016,0,0,0,0,1,3,1,4,5,0,1-10万
2614,3,2018,0,0,0,0,0,2,2,7,4,0,1-10万
2615,3,2018,0,0,0,0,0,2,2,7,4,0,0-1万
2616,3,2015,0,0,0,1,1,6,0,4,4,1,0万
2617,3,2015,0,0,0,1,1,5,0,1,4,0,1-10万
2618,3,2016,0,0,0,1,1,6,2,4,3,1,0万
2619,3,2016,0,0,0,1,1,6,2,4,3,1,0万
2620,3,2016,0,0,1,0,1,3,3,4,4,0,1-10万
2621,3,2018,0,0,0,0,1,6,0,4,4,0,0-1万
2622,3,2018,0,0,0,1,0,3,2,3,5,0,1-10万
2623,3,2017,0,0,0,0,0,1,6,3,5,0,10-20万
2624,3,2016,0,0,0,0,0,2,2,7,4,1,0万
2625,3,2017,0,0,0,0,0,2,1,4,4,0,1-10万
2626,3,2017,0,0,0,0,1,4,0,4,4,0,1-10万
2627,3,2018,0,1,1,0,0,2,3,3,5,0,1-10万
2628,3,2018,0,1,1,0,0,2,3,3,5,0,1-10万
2629,3,2015,0,0,0,0,0,1,2,3,5,0,0-1万
2630,3,2016,0,0,0,1,1,6,2,3,5,0,0-1万
2631,3,2015,0,0,0,0,0,1,1,3,5,0,0-1万
2632,3,2018,0,0,0,0,1,3,2,4,4,0,1-10万
2633,3,2017,0,0,0,0,1,2,3,4,5,0,1-10万
2634,3,2015,0,0,0,1,1,5,2,7,5,0,0-1万
2635,3,2016,0,0,0,0,0,2,3,3,5,0,1-10万
2636,3,2014,0,0,0,1,1,3,2,4,5,0,1-10万
